,acquisition,path,Session,CC,Subject,GC,MI,Processing
39,EPIlowcov_run-1_cbv,/home/nexus/.scratch/irsabi/preprocessing/generic_collapsed/sub-4009/ses-ofM/func/sub-4009_ses-ofM_task-JogB_acq-EPIlowcov_run-1_cbv.nii.gz,ofM,-0.493293,4009,-0.367364,-0.110673,Generic
40,EPIlowcov_run-0_bold,/home/nexus/.scratch/irsabi/preprocessing/generic_collapsed/sub-4009/ses-ofMaF/func/sub-4009_ses-ofMaF_task-JogB_acq-EPIlowcov_run-0_bold.nii.gz,ofMaF,-0.533076,4009,-0.415707,-0.1241,Generic
41,EPIlowcov_run-1_cbv,/home/nexus/.scratch/irsabi/preprocessing/generic_collapsed/sub-4009/ses-ofMaF/func/sub-4009_ses-ofMaF_task-JogB_acq-EPIlowcov_run-1_cbv.nii.gz,ofMaF,-0.501577,4009,-0.366463,-0.101034,Generic
42,EPIlowcov_run-0_bold,/home/nexus/.scratch/irsabi/preprocessing/generic_collapsed/sub-4009/ses-ofMcF1/func/sub-4009_ses-ofMcF1_task-JogB_acq-EPIlowcov_run-0_bold.nii.gz,ofMcF1,-0.521759,4009,-0.43493,-0.12734,Generic
43,EPIlowcov_run-1_cbv,/home/nexus/.scratch/irsabi/preprocessing/generic_collapsed/sub-4009/ses-ofMcF1/func/sub-4009_ses-ofMcF1_task-JogB_acq-EPIlowcov_run-1_cbv.nii.gz,ofMcF1,-0.512861,4009,-0.396247,-0.115068,Generic
44,EPIlowcov_run-0_bold,/home/nexus/.scratch/irsabi/preprocessing/generic_collapsed/sub-4009/ses-ofMcF2/func/sub-4009_ses-ofMcF2_task-JogB_acq-EPIlowcov_run-0_bold.nii.gz,ofMcF2,-0.50533,4009,-0.391436,-0.103,Generic
45,EPIlowcov_run-1_cbv,/home/nexus/.scratch/irsabi/preprocessing/generic_collapsed/sub-4009/ses-ofMcF2/func/sub-4009_ses-ofMcF2_task-JogB_acq-EPIlowcov_run-1_cbv.nii.gz,ofMcF2,-0.47494,4009,-0.342092,-0.0853056,Generic
46,EPIlowcov_run-0_bold,/home/nexus/.scratch/irsabi/preprocessing/generic_collapsed/sub-4009/ses-ofMpF/func/sub-4009_ses-ofMpF_task-JogB_acq-EPIlowcov_run-0_bold.nii.gz,ofMpF,-0.530163,4009,-0.433166,-0.125233,Generic
47,EPIlowcov_run-1_cbv,/home/nexus/.scratch/irsabi/preprocessing/generic_collapsed/sub-4009/ses-ofMpF/func/sub-4009_ses-ofMpF_task-JogB_acq-EPIlowcov_run-1_cbv.nii.gz,ofMpF,-0.510926,4009,-0.402097,-0.109669,Generic
48,EPIlowcov_run-0_bold,/home/nexus/.scratch/irsabi/preprocessing/generic_collapsed/sub-4011/ses-ofM/func/sub-4011_ses-ofM_task-JogB_acq-EPIlowcov_run-0_bold.nii.gz,ofM,-0.490587,4011,-0.378594,-0.104648,Generic
49,EPIlowcov_run-1_cbv,/home/nexus/.scratch/irsabi/preprocessing/generic_collapsed/sub-4011/ses-ofM/func/sub-4011_ses-ofM_task-JogB_acq-EPIlowcov_run-1_cbv.nii.gz,ofM,-0.460639,4011,-0.349184,-0.0943435,Generic
50,EPIlowcov_run-0_bold,/home/nexus/.scratch/irsabi/preprocessing/generic_collapsed/sub-4011/ses-ofMaF/func/sub-4011_ses-ofMaF_task-JogB_acq-EPIlowcov_run-0_bold.nii.gz,ofMaF,-0.510776,4011,-0.386173,-0.103658,Generic
51,EPIlowcov_run-1_cbv,/home/nexus/.scratch/irsabi/preprocessing/generic_collapsed/sub-4011/ses-ofMaF/func/sub-4011_ses-ofMaF_task-JogB_acq-EPIlowcov_run-1_cbv.nii.gz,ofMaF,-0.476991,4011,-0.321279,-0.0747724,Generic
52,EPIlowcov_run-0_bold,/home/nexus/.scratch/irsabi/preprocessing/generic_collapsed/sub-4011/ses-ofMcF1/func/sub-4011_ses-ofMcF1_task-JogB_acq-EPIlowcov_run-0_bold.nii.gz,ofMcF1,-0.546146,4011,-0.450327,-0.144744,Generic
53,EPIlowcov_run-1_cbv,/home/nexus/.scratch/irsabi/preprocessing/generic_collapsed/sub-4011/ses-ofMcF1/func/sub-4011_ses-ofMcF1_task-JogB_acq-EPIlowcov_run-1_cbv.nii.gz,ofMcF1,-0.508524,4011,-0.373016,-0.10362,Generic
54,EPIlowcov_run-0_bold,/home/nexus/.scratch/irsabi/preprocessing/generic_collapsed/sub-4011/ses-ofMcF2/func/sub-4011_ses-ofMcF2_task-JogB_acq-EPIlowcov_run-0_bold.nii.gz,ofMcF2,-0.539455,4011,-0.421063,-0.129724,Generic
55,EPIlowcov_run-1_cbv,/home/nexus/.scratch/irsabi/preprocessing/generic_collapsed/sub-4011/ses-ofMcF2/func/sub-4011_ses-ofMcF2_task-JogB_acq-EPIlowcov_run-1_cbv.nii.gz,ofMcF2,-0.478393,4011,-0.329624,-0.0864654,Generic
56,EPIlowcov_run-0_bold,/home/nexus/.scratch/irsabi/preprocessing/generic_collapsed/sub-4012/ses-ofM/func/sub-4012_ses-ofM_task-JogB_acq-EPIlowcov_run-0_bold.nii.gz,ofM,-0.508978,4012,-0.421519,-0.132304,Generic
57,EPIlowcov_run-1_cbv,/home/nexus/.scratch/irsabi/preprocessing/generic_collapsed/sub-4012/ses-ofM/func/sub-4012_ses-ofM_task-JogB_acq-EPIlowcov_run-1_cbv.nii.gz,ofM,-0.463892,4012,-0.329715,-0.0897388,Generic
58,EPIlowcov_run-0_bold,/home/nexus/.scratch/irsabi/preprocessing/generic_collapsed/sub-4012/ses-ofMaF/func/sub-4012_ses-ofMaF_task-JogB_acq-EPIlowcov_run-0_bold.nii.gz,ofMaF,-0.532569,4012,-0.427444,-0.124074,Generic
59,EPIlowcov_run-1_cbv,/home/nexus/.scratch/irsabi/preprocessing/generic_collapsed/sub-4012/ses-ofMaF/func/sub-4012_ses-ofMaF_task-JogB_acq-EPIlowcov_run-1_cbv.nii.gz,ofMaF,-0.505962,4012,-0.388588,-0.110271,Generic
60,EPIlowcov_run-0_bold,/home/nexus/.scratch/irsabi/preprocessing/generic_collapsed/sub-4012/ses-ofMcF1/func/sub-4012_ses-ofMcF1_task-JogB_acq-EPIlowcov_run-0_bold.nii.gz,ofMcF1,-0.529644,4012,-0.402069,-0.123931,Generic
61,EPIlowcov_run-1_cbv,/home/nexus/.scratch/irsabi/preprocessing/generic_collapsed/sub-4012/ses-ofMcF1/func/sub-4012_ses-ofMcF1_task-JogB_acq-EPIlowcov_run-1_cbv.nii.gz,ofMcF1,-0.507925,4012,-0.381977,-0.112516,Generic
62,EPIlowcov_run-0_bold,/home/nexus/.scratch/irsabi/preprocessing/generic_collapsed/sub-4012/ses-ofMcF2/func/sub-4012_ses-ofMcF2_task-JogB_acq-EPIlowcov_run-0_bold.nii.gz,ofMcF2,-0.525884,4012,-0.428029,-0.133974,Generic
63,EPIlowcov_run-1_cbv,/home/nexus/.scratch/irsabi/preprocessing/generic_collapsed/sub-4012/ses-ofMcF2/func/sub-4012_ses-ofMcF2_task-JogB_acq-EPIlowcov_run-1_cbv.nii.gz,ofMcF2,-0.515026,4012,-0.406323,-0.123135,Generic
64,EPIlowcov_run-0_bold,/home/nexus/.scratch/irsabi/preprocessing/generic_collapsed/sub-4012/ses-ofMpF/func/sub-4012_ses-ofMpF_task-JogB_acq-EPIlowcov_run-0_bold.nii.gz,ofMpF,-0.509262,4012,-0.406245,-0.120538,Generic
65,EPIlowcov_run-1_cbv,/home/nexus/.scratch/irsabi/preprocessing/generic_collapsed/sub-4012/ses-ofMpF/func/sub-4012_ses-ofMpF_task-JogB_acq-EPIlowcov_run-1_cbv.nii.gz,ofMpF,-0.485191,4012,-0.346667,-0.0856001,Generic
66,EPIlowcov_run-0_bold,/home/nexus/.scratch/irsabi/preprocessing/generic_collapsed/sub-4013/ses-ofM/func/sub-4013_ses-ofM_task-JogB_acq-EPIlowcov_run-0_bold.nii.gz,ofM,-0.493831,4013,-0.412425,-0.111061,Generic
67,EPIlowcov_run-1_cbv,/home/nexus/.scratch/irsabi/preprocessing/generic_collapsed/sub-4013/ses-ofM/func/sub-4013_ses-ofM_task-JogB_acq-EPIlowcov_run-1_cbv.nii.gz,ofM,-0.468787,4013,-0.376659,-0.0908829,Generic
0,EPIlowcov_run-0_bold,/home/nexus/.scratch/irsabi/preprocessing/legacy_collapsed/sub-4001/ses-ofM/func/sub-4001_ses-ofM_task-JogB_acq-EPIlowcov_run-0_bold.nii.gz,ofM,-0.637943,4001,-0.790726,-0.278107,Legacy
