,acquisition,path,session,CC,subject,GC,MI,Processing
67,EPIlowcov_run-1_cbv,/home/chymera/data_scratch/irsabi/preprocessing/generic_collapsed/sub-4013/ses-ofM/func/sub-4013_ses-ofM_task-JogB_acq-EPIlowcov_run-1_cbv.nii.gz,ofM,-0.467515,4013,-0.373647,-0.0895202,Generic
0,EPIlowcov_run-0_bold,/home/chymera/data_scratch/irsabi/preprocessing/legacy_collapsed/sub-4001/ses-ofM/func/sub-4001_ses-ofM_task-JogB_acq-EPIlowcov_run-0_bold.nii.gz,ofM,-0.591128,4001,-0.736057,-0.253709,Legacy
1,EPIlowcov_run-1_cbv,/home/chymera/data_scratch/irsabi/preprocessing/legacy_collapsed/sub-4001/ses-ofM/func/sub-4001_ses-ofM_task-JogB_acq-EPIlowcov_run-1_cbv.nii.gz,ofM,-0.468958,4001,-0.584079,-0.19911,Legacy
2,EPIlowcov_run-0_bold,/home/chymera/data_scratch/irsabi/preprocessing/legacy_collapsed/sub-4001/ses-ofMaF/func/sub-4001_ses-ofMaF_task-JogB_acq-EPIlowcov_run-0_bold.nii.gz,ofMaF,-0.629864,4001,-0.788254,-0.273626,Legacy
3,EPIlowcov_run-1_cbv,/home/chymera/data_scratch/irsabi/preprocessing/legacy_collapsed/sub-4001/ses-ofMaF/func/sub-4001_ses-ofMaF_task-JogB_acq-EPIlowcov_run-1_cbv.nii.gz,ofMaF,-0.539281,4001,-0.577065,-0.192004,Legacy
4,EPIlowcov_run-0_bold,/home/chymera/data_scratch/irsabi/preprocessing/legacy_collapsed/sub-4001/ses-ofMcF1/func/sub-4001_ses-ofMcF1_task-JogB_acq-EPIlowcov_run-0_bold.nii.gz,ofMcF1,-0.625507,4001,-0.791868,-0.285433,Legacy
5,EPIlowcov_run-1_cbv,/home/chymera/data_scratch/irsabi/preprocessing/legacy_collapsed/sub-4001/ses-ofMcF1/func/sub-4001_ses-ofMcF1_task-JogB_acq-EPIlowcov_run-1_cbv.nii.gz,ofMcF1,-0.451822,4001,-0.554076,-0.183562,Legacy
6,EPIlowcov_run-0_bold,/home/chymera/data_scratch/irsabi/preprocessing/legacy_collapsed/sub-4001/ses-ofMcF2/func/sub-4001_ses-ofMcF2_task-JogB_acq-EPIlowcov_run-0_bold.nii.gz,ofMcF2,-0.660696,4001,-0.712063,-0.205206,Legacy
7,EPIlowcov_run-1_cbv,/home/chymera/data_scratch/irsabi/preprocessing/legacy_collapsed/sub-4001/ses-ofMcF2/func/sub-4001_ses-ofMcF2_task-JogB_acq-EPIlowcov_run-1_cbv.nii.gz,ofMcF2,-0.593128,4001,-0.599956,-0.194094,Legacy
8,EPIlowcov_run-0_bold,/home/chymera/data_scratch/irsabi/preprocessing/legacy_collapsed/sub-4002/ses-ofM/func/sub-4002_ses-ofM_task-JogB_acq-EPIlowcov_run-0_bold.nii.gz,ofM,-0.650102,4002,-0.779723,-0.268263,Legacy
9,EPIlowcov_run-1_cbv,/home/chymera/data_scratch/irsabi/preprocessing/legacy_collapsed/sub-4002/ses-ofM/func/sub-4002_ses-ofM_task-JogB_acq-EPIlowcov_run-1_cbv.nii.gz,ofM,-0.510893,4002,-0.637141,-0.221109,Legacy
10,EPIlowcov_run-0_bold,/home/chymera/data_scratch/irsabi/preprocessing/legacy_collapsed/sub-4004/ses-ofM/func/sub-4004_ses-ofM_task-JogB_acq-EPIlowcov_run-0_bold.nii.gz,ofM,-0.571744,4004,-0.672176,-0.237929,Legacy
11,EPIlowcov_run-1_cbv,/home/chymera/data_scratch/irsabi/preprocessing/legacy_collapsed/sub-4004/ses-ofM/func/sub-4004_ses-ofM_task-JogB_acq-EPIlowcov_run-1_cbv.nii.gz,ofM,-0.483838,4004,-0.592154,-0.19492,Legacy
12,EPIlowcov_run-0_bold,/home/chymera/data_scratch/irsabi/preprocessing/legacy_collapsed/sub-4005/ses-ofM/func/sub-4005_ses-ofM_task-JogB_acq-EPIlowcov_run-0_bold.nii.gz,ofM,-0.636634,4005,-0.646588,-0.217321,Legacy
13,EPIlowcov_run-1_cbv,/home/chymera/data_scratch/irsabi/preprocessing/legacy_collapsed/sub-4005/ses-ofM/func/sub-4005_ses-ofM_task-JogB_acq-EPIlowcov_run-1_cbv.nii.gz,ofM,-0.651486,4005,-0.507995,-0.165468,Legacy
14,EPIlowcov_run-0_bold,/home/chymera/data_scratch/irsabi/preprocessing/legacy_collapsed/sub-4005/ses-ofMaF/func/sub-4005_ses-ofMaF_task-JogB_acq-EPIlowcov_run-0_bold.nii.gz,ofMaF,-0.690865,4005,-0.778125,-0.268776,Legacy
